year,country,artist,song,all_languages,main_language,lyrics_original,lyrics_english,bpm,tone,dancers,stage_director,place,points,running_order,top_3_words
1979,Italy,Matia Bazar,Raggio di luna,Italian,Italian,"Se a volte ti sembro bugiardo, non sai C'è un mondo sincero che non mente mai  Quando un raggio di luna Tra il cielo e le stelle, si accorge di me Ed un soffio di vento Fa perdere al tempo la fretta che ha  Quando un raggio di luna Cancella ogni ombra di dubbio e di falsità Io più libero e vero, io ...","If I sometimes seem to be deceitful, you don't know There's a sincere world, which never lies  When a moon beam Between the sky and the stars acknowledges me And a gust of wind Makes time lose its haste  When a moon beam Erases every shade of doubt and falseness I'll be freer and true, I'll fly sinc...",100,E major,,,15,27,2,"moon, beam, ill"
1979,Monaco,Laurent Vaguener,Notre vie c'est la musique,French,French,"J'aime les guitares de rock 'n' roll Toutes les chansons un peu folles d'Angleterre et d'Amérique J'aime tous les vieux Blues de Harlem Les discos qui nous entraînent au delà de l'Atlantique  J'aime le samedi soir à Paris Sur les boulevards de la nuit, quand on voit passer les filles J'aime les moto...","I love the guitars of rock 'n' roll All the slightly wild songs from England and America I love all the old Blues of Harlem The disco that pulled us away from the Atlantic  I love the Saturday nights in Paris In the boulevards at night, looking at the passing girls I madly love motorcycles Being bet...",145,A minor,,,16,12,6,"love, guitars, rock"
1979,Sweden,Ted Gärdestad,Satellit,Swedish,Swedish,"Du har stått vid horisonten Du har tittat mot havet om jorden var rund Men allt som du såg var en båt som försvann I dimman som rullade fram  Jag är inte rädd att flyga Jag, för ovanför molnen står himlen på glänt Som jorden och månen vi dras till varann Men håll mig så hårt som du kan Jag känner mi...","You've been standing at the horizon You've been watching the sea wondering if earth is round But all you saw was a boat disappearing In the rolling mist  I'm not afraid of flying Because above the clouds heaven's door is ajar Like earth and moon, we're attracted to each other Please hold me as tight...",111,Bb major,,,17,8,15,"youve, earth, standing"
1979,Belgium,Micha Marah,Hey Nana,Dutch,Dutch,"Hé, kom je mee? Blijf je hier bij mij vannacht? 'k Heb al zo lang op jou gewacht Hé, weet je wel? 't Is nu tijd voor 't grote spel Jij wordt nu mijn pantoffelheld  Jij neemt me in je armen En je draagt me in ons huis Ik zal altijd heel lief voor je zijn  Zou dat niet heerlijk zijn voor jou en mij? Z...","Hey, won't you come? Won't you stay here with me tonight? I've already been waiting so long for you Hey, do you know? It's time now for the big game You now become my henpecked husband  You take me in your arms And you carry me into our house I'll always be very sweet for you  Wouldn't that be great...",100,Ab minor,,,18,5,12,"hey, wont, now"
1979,Austria,Christina Simon,Heute in Jerusalem,German,German,"Erhebt euch, tut ab den Schlaf In dieser Zeit der bitteren Früchte Übt Freunde eure Wachsamkeit Dem Weinen und der Angst zu wehren  Seht, aus der Kühle hoher Luft Da fallen hundert Monde Als Zeichen für den Neubeginn Als Sinn wider den Widersinn  Und heute in Jerusalem Endlich in Jerusalem Atem hole...","Get up, lay down the sleep In this time of bitter fruits Friend, be vigilant To fight against the crying and tears  Look, from the cold high sky Fall a hundred moons As a sign for the new beginning As a sense against the nonsense  And today in Jerusalem Finally in Jerusalem Take breath and reflect T...",113,F# major,,,18,5,18,"jerusalem, get, lay"
1980,Ireland,Johnny Logan,What's Another Year,English,English,"I've been waitin' such a long time Lookin' out for you, but you're not here What's another year?  I've been wakin' such a long time Reachin' out for you, but you aren't near What's another year?  What's another year For someone who's lost everything that he owns? What's another year For someone who'...","I've been waitin' such a long time Lookin' out for you, but you're not here What's another year?  I've been wakin' such a long time Reachin' out for you, but you aren't near What's another year?  What's another year For someone who's lost everything that he owns? What's another year For someone who'...",97,G major,,,1,143,17,"whats, another, year"
1980,Germany,Katja Ebstein,Theater,German,German,"Sie setzen jeden Abend eine Maske auf Und sie spielen wie die Rolle es verlangt An das Theater haben sie ihr Herz verkauft Sie stehn oben und die unten schaun sie an Sie sind König, Bettler, Clown im Rampenlicht Doch wie's tief in ihnen aussieht, sieht man nicht  Theater, Theater, der Vorhang geht a...","They put a mask on every evening And they play the role they have to play They have sold their hearts to the theatre They're standing up there and those below look at them They're kings, beggars, clowns in the footlight But how it looks deep inside them, you can't see  Theatre, theatre, the curtain ...",95,Bb major,,,2,128,12,"theatre, play, theyre"
1980,United Kingdom,Prima Donna,Love Enough for Two,English,English,"If there's a place in your heart for me There's a room in my place for you 'Cause I've got love enough… Yes, I've got love enough… Love enough for two  It isn't every road that leads me home It isn't every day I'm on my own But when I'm feeling sad and all alone I think of you, yes, I do  You've got...","If there's a place in your heart for me There's a room in my place for you 'Cause I've got love enough… Yes, I've got love enough… Love enough for two  It isn't every road that leads me home It isn't every day I'm on my own But when I'm feeling sad and all alone I think of you, yes, I do  You've got...",137,E major,,,3,106,13,"got, love, theres"
1980,Switzerland,Paola,Cinéma,French,French,"Toute petite, quelquefois il me prenait par la main Et heureuse, à petits pas, je marchais par les chemins Vers la ville aux mille lumières, au côté de mon papa Vers le monde extraordinaire et magique du cinéma  Peter Pan, c'était le plus grand Pour tous les petits enfants Et Mickey était si gai qua...","Very small, sometimes he took me by the hand And happy, with small steps, I walked along the paths To the city of a thousand lights, alongside my father To the extraordinary and magic world of cinema  Peter Pan, he was the tallest For all the little children And Mickey was so cheerful when he sang i...",145,Bb major,,,4,104,9,"small, sometimes, took"
1980,Netherlands,Maggie MacNeal,Amsterdam,Dutch,Dutch,"Waar in de wereld je ook bent Je denkt terug aan dat moment En weet niet waar je het van kent  Maar opeens herinner je je weer Er was een eindeloze sfeer En die is er telkens weer  In Amsterdam, Amsterdam Is van alles aan de gang Amsterdam, Amsterdam Bestaat al eeuwenlang  Amsterdam, Amsterdam De st...","Wherever you are in the world You think back to that moment And you don't know where you know it from  But all of sudden you remember again There was a superb atmosphere And it's there time and again  In Amsterdam, Amsterdam All kinds of things are going on Amsterdam, Amsterdam Exists for centuries ...",162,F minor,,,5,93,15,"amsterdam, know, wherever"
1980,Italy,Alan Sorrenti,Non so che darei,Italian,Italian,"Se ti perdo, non so che farei Ricorderò sempre ogni piccolo istante Vissuto con te  Le mie mani sono vuote ma Io non nascondo l'amore che sento da sempre per te In fondo all'anima, non so perché Io vorrei stringerti ancora una volta a me  Non so che darei per fermare il tempo Per dormire al tuo fian...","If I'd lose you, I don't know what I'll do I'll remember forever, every minute I lived with you  My hands are empty, but I don't hide the love that I'll always feel for you In the bottom of my heart I don't know why I would embrace you one more time  I don't know what I can give to stop the time To ...",172,A major,,,6,87,6,"dont, know, ill"
1980,Portugal,José Cid,"Um grande, grande amor",Portuguese & Multilingual,Portuguese & Multilingual,"Addio, adieu, auf Wiederseh'n, goodbye Amore, amour, meine Liebe, love of my life Se o nosso amor findar, só me ouvirás cantar Addio, adieu, auf Wiederseh'n, goodbye Amore, amour, meine Liebe, love of my life Oo… ah…  Este amor não tem grades, fronteiras Barreiras, muro em Berlim É um mar, é um rio,...","Goodbye, goodbye, goodbye, goodbye Love, love, my love, love of my life If our love ends, you'll only see me singing Goodbye, goodbye, goodbye, goodbye Love, love, my love, love of my life Ooh… ah…  This love doesn't have many borders Barriers, Berlin wall It's a sea, it's a river, it's a fountain T...",135,A major,,,7,71,14,"love, goodbye, life"
1980,Austria,Blue Danube,Du bist Musik,German,German,"Du bist Liszt, Chopin, Debussy, Couperin Du bist Mozart, Gesualdo und Boulez Du bist Gluck und Bach, Johann Strauß, Offenbach Du bist Schubert, Gershwin und Chavez Du bist Mahler, Schumann, Monteverdi Frank Martin, Tschaikowski, Josquin Du bist Palestrina und Puccini Strawinski und Rossini, De Falla...","You are Liszt, Chopin, Debussy, Couperin You are Mozart, Gesualdo and Boulez You are Gluck and Bach, Johan Strauß, Offenbach You are Schubert, Gershwin and Chavez You are Mahler, Schumann, Monteverdi Frank Martin, Tchaikovsky, Josquin You are Palestrina and Puccini Stravinski and Rossini, de Falla a...",133,F minor,,,8,64,1,"liszt, chopin, debussy"
1980,Luxembourg,Sophie & Magaly,Papa Pingouin,French,French,"Le papa pingouin, le papa pingouin Le papa, le papa, le papa pingouin Le papa pingouin s'ennuie sur la banquise Le papa pingouin, le papa pingouin Le papa, le papa, le papa pingouin Le papa pingouin voudrait faire sa valise  On le sent nerveux, un peu malheureux Pas très bien dans ses plumes Pour se...","Papa penguin, papa penguin Papa, papa, papa penguin Papa penguin is bored on the ice floe Papa penguin, papa penguin Papa, papa, papa penguin Papa penguin wants to pack his suitcase  He feels nervous, a little unhappy Doesn't feel very well in his feathers To calm down his nerves, he dives into the ...",117,D major,,,9,56,4,"papa, penguin, bored"
1980,Sweden,Tomas Ledin,Just nu!,Swedish,Swedish,"Han är trött på stan, det händer ingenting Det mesta är sig likt här runt omkring Veckan kryper fram, helgen springer förbi Samma snack varje dag om att göra sig fri  Just nu vill jag leva, just nu! Just nu vill jag känna, just nu!  Känna luften i mina lungor, känna blodet som pulserar Känna ljuset ...","He's tired of the city, nothing happens Everything is as usual around here The weekdays creep by, the weekend flies by The same talk every day about breaking free  Right now I want to live, right now! Right now I want to feel, right now!  Feel the air in my lungs, feel the blood pumping Feel the lig...",140,F major,,,10,47,8,"right, now, feel"
1980,France,Profil,"Hé, hé m'sieurs dames",French,French,"Dududu dududu… dududu dududu dudu… Hé, hé, m'sieurs, dames Si on chantait toute la nuit Pour rire et faire peur aux ennuis C'est fête aujourd'hui  Hé, hé, m'sieurs, dames On va s'balader sur la gamme Le cœur empli de notes en flammes Pour chauffer nos âmes  On va chanter, hé, hé, m'sieurs, dames On ...","Dududu dududu… dududu dududu dudu… Hey, hey, gentlemen, ladies If we sang the whole night long To laugh and to scare our cares away It's party today  Hey, hey, gentlemen, ladies We go for a walk on the music scale Our heart filled with notes in flames To warm up our souls  We'll sing, hey, hey, gent...",165,Eb minor,,,11,45,16,"hey, dududu, gentlemen"
1980,Spain,Trigo Limpio,Quédate esta noche,Spanish,Spanish,Duérmete junto a mí esta noche Quédate junto a mí esta noche Quiéreme mucho a mí esta noche Yo seré para ti esta noche  Duérmete junto a mí esta noche Quédate junto a mí esta noche Quiéreme mucho a mí esta noche Yo seré para ti esta noche  Suelta las llaves y pon la maleta De nuevo en su sitio otra ...,Sleep beside me tonight Stay beside me tonight Love me a lot tonight I'll be yours tonight  Sleep beside me tonight Stay beside me tonight Love me a lot tonight I'll be yours tonight  Put away the keys and put the suitcase Back in its place again Think you don't have to get angry And even less about...,128,E minor,,,12,38,18,"tonight, beside, sleep"
1980,Greece,Anna Vissi and the Epikouri,Otostop,Greek (Ellinika),Greek (Ellinika),"An thes ton kosmo na this mazi mu xekina (xekina) Ke kane me otostop to yiro tis yis Boris na pas opu thes, Evropi i Kina (Kina) Ke ""yia Athina"" na pis ke opu vrethis Ke ande, m' otostop, otostop Taksidi m' otostop, otostop, xekina yelasta Otostop, me otostop Ta sinora in' anikta ki emis mia sindrof...","If you want to see the world with me, set out (set out) And make with hitch-hiking the tour of the Earth You can go where you want, Europe or China (China) And say ""bye Athens"" and wherever you'll be found And go with hitch-hiking, hitch-hiking Journey with hitch-hiking, hitch-hiking begin smilingly...",185,B major,,,13,30,3,"hitchhiking, want, set"
1980,Denmark,Bamses Venner,Tænker altid på dig,Danish,Danish,"Det er i dag, jeg skal af sted, min ven Jeg glæder mig til vi skal ses igen For det er her hos dig, jeg har det bedst Ja, det er dig, jeg elsker allermest Når jeg sådan må forlade dig Ved du så, at jeg…  Altid tænker på dig? At du er lyset for mig, der altid viser vej  Jeg ved, du drømmer om At vi e...","It's today that I'll be leaving, my friend I'm looking forward to when we meet again For it is here with you I feel best Yes, you're the one I love the most of all When I have to leave you like this Do you know that I'm…  Always thinking of you? That you're my light, that always shows the way  I kno...",91,F major,,,14,25,7,"youre, always, today"
1980,Turkey,Ajda Pekkan,Petr'oil,Turkish,Turkish,"Sen gelmeden önce her yer karanlık Dünya ıssız, dünya durgundu bilmem niçin Her yerde aradım tatlı bir ışık Bir ateş bu gönlümü ısıtmak için  Sen gelince sanki bir güneş doğdu Aydınlık günüm gecem artık çok güzel hayat Sanki her şey birden bambaşka oldu Sensiz ne kadar zormuş, meğer ne güçmüş hayat ...","Before you came it was dark everywhere The world was empty and dull, I wonder why I searched everywhere for sweet light For a flame that would warm my heart  When you came, as if a sun has dawned Illuminating my day and night, my life was wonderful Now, all of a sudden, everything has changed Withou...",113,D major,,,15,23,2,"came, everywhere, dark"
1980,Norway,Sverre Kjellsberg & Mattis Hætta,Sámiid ædnan,Norwegian & Northern Sámi,Norwegian & Northern Sámi,"Enkel tone, to små ord: Sámiid Ædnan, samisk jord Kom som vindpust ifra nord, ifra nord, Sámiid Ædnan  Kan et krav få mjukar form: Sámiid Ædnan, Sameland Vokste sæ fra bris tel storm, bris tel storm, Sámiid Ædnan  Framførr tinget der dem satt, Sámiid Ædnan, Sámiid Ædnan Hørtes joiken dag og natt, Sá...","A simple tune, two small words: Sami Land, Sami earth It came with the wind from north, from north, Sami Land  Can a demand get any softer: Sami Land, the land of the Sami people It grew from a breeze to a storm, from a breeze to a storm, Sami Land  In front of the parliament where they sat, Sami La...",91,D major,,,16,15,11,"sami, land, north"
1980,Belgium,Telex,Euro,French,French,"Beaux messieurs, belles dames Musique au programme Chanteurs, à vos gammes Que le meilleur gagne  Les frontières sont ouvertes Que déclarer si ce soir c'est la fête? Les vedettes sont inquiètes Elles se maquillent Fument une cigarette Avant d'aller sur la sellette  Eurovision, Eurovision, Eurovision...","Beautiful ladies, beautiful gentlemen Music on the programme Singers, get ready May the best win  The borders are open What should I say if tonight is a party? The stars are nervous They do their make up Smoke a cigarette Before going on stage  Eurovision, Eurovision, Eurovision Eurovision, Eurovisi...",137,D minor,,,17,14,19,"eurovision, beautiful, ladies"
1980,Morocco,Samira Bensaïd,Bitakat Hob,Arabic (Alearabia),Arabic (Alearabia),"Nahna atfal kull el-dunya Talbeen aisha radhia hanya Ma feehash heqd, ma feehash nar W la khissam beyn jar w jar  Nahna atfal kull el-dunya Talbeen aisha radhia hanya Ma feehash heqd, ma feehash nar W la khissam beyn jar w jar  Ma feehash shmeys beyn el-alwan W el-assl wahed, w el-kull ikhwan Ma bgh...",We are the children of the whole world Asking for a simple happy life Asking a life free of greed and fire Free of rival neighbours  We are the children of the whole world Asking for a simple happy life Asking a life free of greed and fire Free of rival neighbours  A place with no color discriminati...,122,A minor,,,18,7,5,"asking, life, free"
1980,Finland,Vesa,Matti Loiri,Finnish,Finnish,On tässä huilu ja huilumies En täytä mittaa normien Sormien soutelun huoleni huilutan Jos en lausein tunteita tulkita voi Niille varmasti huilu soi Ja niistä sielun soinnut pienoisen lauluni loi  On siinä aamun kastehelmien tuoksu On kevät lämmin vuoripuron juoksu Kaiken sen minkä aistin huiluni soi...,"Here's a flute and a flute man I'm not playing to the standards I flute away my troubles If I can't interpret my feelings with words My flute surely plays for them And from them the sounds of my soul created my little song  There is the smell of the morning dew The warmth of spring, the running wate...",,,,,19,6,10,"flute, heres, man"
1981,United Kingdom,Bucks Fizz,Making Your Mind Up,English,English,You gotta speed it up And then you gotta slow it down 'Cause if you believe that our love can hit the top You gotta play around But soon you will find that there comes a time For making your mind up  You gotta turn it on And then you gotta put it out You gotta be sure that it's something Everybody's...,You gotta speed it up And then you gotta slow it down 'Cause if you believe that our love can hit the top You gotta play around But soon you will find that there comes a time For making your mind up  You gotta turn it on And then you gotta put it out You gotta be sure that it's something Everybody's...,178,A major,,Chrissy Wickham,1,136,14,"gotta, speed, slow"
1981,Germany,Lena Valaitis,Johnny Blue,German,German,"Blue, Blue, Blue, Johnny Blue Alle singen deine Lieder Blue, Blue, Blue, Johnny Blue Und die ganze Welt hört zu  Er wuchs auf ohne Freunde Denn keiner wollt spielen Mit einem, der blind war wie er Und er sass meist zu Hause Die Jungen dort draussen Die riefen bloss hinter ihm her  Sie riefen: Blue, ...","Blue, Blue, Blue, Johnny Blue Everybody is singing your songs Blue, Blue, Blue, Johnny Blue And the whole world is listening  He grew up without any friends Because no one wanted to play With someone who was blind, like him And he mostly sat at home The boys outside They just shouted after him  They...",115,D minor,,,2,132,3,"blue, johnny, everybody"
1981,France,Jean Gabilou,Humanahum,French,French,"Sur une galaxie en l'an trois mille (En l'an trois mille) Un vieil homme est assis sur le sol gris (Sur le sol gris) Autour de lui, tous les enfants sont réunis Pour écouter ce qu'il va raconter  Regardez, mes petits, là-bas, dans la nuit (Là, dans la nuit) Cette boule qui brille était pleine de vie...","On a galaxy in the year three thousand (In the year three thousand) An old man is sitting on the grey ground (On the grey ground) Around him, all the children are gathered To listen to what he's going to say  Look, my children, over there, in the night (There, in the night) This shining ball was ful...",132,Eb major,,,3,125,9,"year, three, thousand"
1981,Switzerland,"Peter, Sue & Marc",Io senza te,Italian,Italian,"Dopo la tempesta camminiamo un po' Sulla sabbia pesta chiacchieriamo un po' Ho sbagliato io, hai sbagliato tu Quel che è stato è stato Non parliamone più  Io senza te, cosa farei? Io non respiro se tu non ci sei Io senza te, cosa sarei? Una farfalla che non vola più  Prenderti nel vento come un anno...","After the storm, we walk a bit On the wet sand, we talk a bit I was wrong, you were wrong What has been has been We must not speak about it anymore  Me without you, what shall I do? I don't breathe if you are not here Me without you, what shall I be? A butterfly that doesn't fly anymore  Bring you o...",136,F# major,,,4,121,19,"bit, wrong, anymore"
1981,Ireland,Sheeba,Horoscopes,English,English,"Rushing for the papers every day To find out what the stars have got to say About the fortunes that are on the way It's crazy, crazy  Working, not waiting that forever will hold Success comes from what we do, not from what we're told And counting on lucky stars is living on false hopes  Don't let th...","Rushing for the papers every day To find out what the stars have got to say About the fortunes that are on the way It's crazy, crazy  Working, not waiting that forever will hold Success comes from what we do, not from what we're told And counting on lucky stars is living on false hopes  Don't let th...",132,G major,,,5,105,12,"stars, crazy, rushing"
1981,Cyprus,Island,Monika,Greek (Ellinika),Greek (Ellinika),"Pernane ta hronia, i agapes ke hiona mas Vriskune panda mazi Perasame bores ke dhiskoles ores Ma panda i agapi mas zi  Pote de thimame, anisihos na' me yiat' Isuna panda esi Pisti sindrofia mu, tragudhi hara mu Agapi k' elpidha hrisi  Moni, Moni, Moni, Moni, Moni, Moni Moni, Moni, Monika Zis esi yia...","Years pass by, love and snow Find us always together We weathered storms and hard times But always our love remains  I never remember me being worried because It was always you My trusted company, my happy song My golden love and hope  Moni, Moni, Moni, Moni, Moni, Moni Moni, Moni, Monica You live f...",172,F major,,,6,69,18,"moni, love, always"
1981,Israel,Habibi,Halaylah,Hebrew (Ivrit),Hebrew (Ivrit),"Lifnei shenipared Beterem yom yered Dvarim rabim ye'amru beineinu Elef milim, elef tslilim Ad halaila  Nidme shekvar kara Nidme shekvar haya Nidme shekvar ne'emru beineinu Kol hamilim, kol hatslilim Laila laila  Ma shehaya, ma shehaya Shehaya beineinu Ma shehaya, ma shehaya She'amarnu shneinu  Kol h...","Before we say goodbye Before the day is gone Many things will be said between us A thousand words, a thousand sounds Until the night  It seems as if it had already happened It seems as if it had already been It seems as if they had already been said between us All of the words, all of the sounds Nig...",126,Eb major,,,7,56,5,"seems, already, said"
1981,Greece,Yiannis Dimitras,Feggari kalokerino,Greek (Ellinika),Greek (Ellinika),"Fegari kalokerino, ston iskio su tha triyirno Sti mayemeni astrofegia, luluthia tha 'ne ta filia Irtha konda su na statho, mikro karavi sto yialo Tremo tus iskius tis nihtias, yi' afto fegari mu na m' agapas  Fegari kalokerino, stu erota ton urano I mayemeni astrofegia, luluthia kani ta filia  Kita ...","Summer moon, in your shade I'll wander In the bewitched starlight, flowers will be kisses I came standing near you, small ship on the seashore I tremble the shades of the night, therefore love me, my moon  Summer moon, on the sky of love The bewitched starlight, flowers make kisses  Look at the deso...",91,B minor,,,8,55,17,"moon, summer, bewitched"
1981,Netherlands,Linda Williams,Het is een wonder,Dutch,Dutch,"Het is een wonder Het is een wonder Ja, dat ik jou heb ontmoet Jij geeft m'n leven nu voorgoed een stimulans  Het is een wonder Het is een wonder Als ik denk aan wat jij doet Jij geeft m'n leven nieuwe moed Een beetje glans Een warme tint'ling in m'n bloed Een liefdesdans Een nieuwe kans Het is een ...","It's a wonder It's a wonder Yes, that I've met you You give my life now a stimulation for good  It's a wonder It's a wonder When I think of what you're doing You give my life new courage A little glow A warm tingling in my blood A love dance A new chance It's a wonder  At first being happy didn't me...",95,E major,,,9,51,11,"wonder, give, life"
1981,Sweden,Björn Skifs,Fångad i en dröm,Swedish,Swedish,"I mitt hus, där händer det att natten är lång I mitt hus, där känner du nånting är på gång Och när dagen börjar skymma bjuder oron upp till dans Du försöker komma undan men du kommer ingen stans  Och fångad i en dröm som inte gör dig fri Fångad i en dröm, hålls du kvar ändå av din fantasi  Ja, fånga...","In my house it happens that the night is long In my house you can feel something is going on And when the day turns to dusk, restlessness invites you to dance You're trying to escape but can't go anywhere  And captured in a dream that doesn't set you free Captured in a dream, you're held back by you...",125,C major,,,10,50,20,"house, youre, captured"
1981,Luxembourg,Jean,Claude Pascal,French,French,"C'est peut-être pas l'Amérique Mais l'Amérique, ce n'est pas tout J'ai dans le cœur une musique Et cette musique pour moi, c'est beaucoup  Elle vient du nord ou de Provence Elle est tramontane ou mistral Elle est le violon pour la danse Ou le chœur dans la cathédrale  Elle chante dans mes soirs de f...",It may not be America But America isn't everything I've got music in my heart And this music means a lot to me  It comes from the north of the Provence As Tramontane or Mistral It's the fiddle to dance to Or the choral in the cathedral  It sings during my evening parties And rocks my nights when I f...,89,C major,,,11,41,4,"america, music, may"
1981,Denmark,Debbie Cameron & Tommy Seebach,Krøller eller ej,Danish,Danish,"Jeg har en søn på to Med store, lyse krøller Jeg har en dreng på tre Med store, brune øjne Jamen, jeg har bare én mer' end du har Okay, måske, men ingen er bedre end min For han er bare helt speciel Hvis jeg må si' det selv  Krøller eller ej, vi elsker vores børn Brune øjne eller ej, I elsker jeres ...","I have a two year old son With big, blond curls I have a three year old boy With big, brown eyes But I've got one more than you OK, perhaps, but none is better than mine For he's very special If I do say so myself  Curly hair or not, we love our children Brown eyes or not, you love your children For...",,,,,11,41,6,"year, old, big"
1981,Belgium,Emly Starr,Samson,Dutch,Dutch,"Praat veel van veroveringen Van liefde, maar dan zonder trouw Je weet wel wat je moet verzinnen Voor iedere mooie vrouw  Ooh... playboy, 'k zou je graag vergeten Ooh ooh... niemand kan je liefde geven  Samson, honderden verhalen Zonder een Delilah Samson, vergeet je wilde haren Zoek je een Delilah S...","Talks a lot about conquests About disloyal love You know what to concoct For every beautiful woman  Ooh... playboy, I'd rather forget you Ooh ooh... no one can give you love  Samson, hundreds of stories Without a Delilah Samson, forget your wild hairs Find yourself a Delilah Samson  You care more ab...",139,C minor,,,13,40,16,"ooh, samson, love"
1981,Spain,Bacchelli,Y sólo tú,Spanish,Spanish,"Y sólo tú, y sólo yo Enamorados en la playa bajo el sol No hay nadie más alrededor Y en la arena yo dibujo un corazón El viento enreda tus cabellos Como queriéndote acariciar  Y sólo tú, y sólo yo El cielo azul y en tus ojos el amor Mirando el mar embrujador Nos abrazamos con la fuerza del ciclón  N...","And only you, and only I In love on the beach under the sun There's no one else around And I draw a heart in the sand The wind tangles your hair As if it wants to caress you  And only you, and only I The blue sky and love in your eyes Looking at the bewitching sea We embrace each other with the stre...",,,,,14,38,10,"love, beach, sun"
1981,Yugoslavia,Seid,Memic Vajta,Serbo-Croatian,Serbo-Croatian,"Nikad te niko neće voljet' k'o ja, nikada Nikad te niko neće voljet' k'o ja, nikada  Malo nam je trebalo znaj Samo malo još jedan san Za nas bi procvjetale ruže Da si dočekala sa mnom dan O samo da si ostala tu  Ali nisi željela to Ali nisi željela to  Nikad te niko neće voljet' k'o ja, nikada Nikad...","No one will ever love you like I do, never No one will ever love you like I do, never  We only need a little, you know Just a little, one more dream Roses would have bloomed for us Had you waited for the day with me If you had only stayed here  But you did not want that But you did not want that  No...",133,A major,,,15,35,7,"one, will, ever"
1981,Finland,Riki Sorsa,Reggae O.K.,Finnish,Finnish,Täs on teille yksi juttu ehkä outo homma täällä Reggae OK Ja jos ei kaikille viel tuttu silti koko ajan päällä Reggae OK No niin rastat kun kundit kulmilla Tätä biittiä pitää jo omanaan  Ja mätti joka sanoo kiitti mulle riitti Reggae OK Tää rytmi menee tajuntaan se soundi on kuin pommi Reggae OK Sen...,"Here's something for you, maybe strange thing so far Reggae OK And even if it's not familiar to everyone, it's playing all the time Reggae OK Both rastas and people all around the world Consider this beat to be their own  And a jerk is the one who says thanks I've had enough Reggae OK The rhythm wil...",131,C major,,,16,27,8,"reggae, heres, something"
1981,Austria,Marty Brem,Wenn du da bist,German,German,"Wenn du fort bist Und all' die Vögel singen doch Wenn du fort bist Und die Blumen blühen doch Bin ich einsam Und all' die Menschen um mich her tun Als ob nichts geschehen wär'  Wenn du fort bist Hör' ich das Vogelsingen nicht Wenn du fort bist Gibt selbst die Sonne trübes Licht Was ich tue, es ist a...","When you are gone And though all the birds are singing When you are gone And though the flowers are blooming I'm lonely And all the people around me are behaving As if nothing had happened  When you are gone I don't hear the birds' song When you are gone The sun itself shines dimly Whatever I do, ev...",91,Eb major,,,17,20,1,"gone, though, birds"
1981,Turkey,Modern Folk Trio & Ayşegül,Dönme Dolap,Turkish,Turkish,Yaşamak oyun değil arkadaş Dünyaya gelmenin bir bedeli var Dost bildiklerin tükenmez arkadaş Sevgi insanların hamurunda var  Yaşamak dönme dolap gibidir Onun da iniş ve çıkışları var Talihlidir hep çıkanlar arkadaş Gerçek dost inenlerin yanında var  Nefes almak değildir yaşamak Düşünmek ve hissetmek...,"Life isn't a game, my friend Coming to the world has its price Friendship is eternal, my friend Love is in the core of man  Life is like a carousel It also has its ups and downs Lucky are those who go up my friend But by those who go down stand true friends  To breathe is not to live Living is think...",103,Bb major,,,18,9,2,"friend, life, isnt"
1981,Portugal,Carlos Paião,Play,Portuguese,Portuguese,"Podes não saber cantar nem sequer assobiar Com certeza que não vais desafinar Em play-back, em play-back, em play-back Só precisas de acertar, não tem nada que enganar E assim mesmo sem cantar, vais encantar Em play-back, em play-back, em play-back  Põe o microfone à frente muito disfarçadamente Vai...","Maybe you don't know how to sing or even how to whistle But you won't sing out of tune for sure In playback, in playback, in playback You just have to get it right, there's nothing to it And even without singing, you're going to enchant In playback, in playback, in playback  Put the microphone in fr...",135,A minor,,,18,9,15,"playback, sing, even"
1981,Norway,Finn Kalvik,Aldri i livet,Norwegian,Norwegian,"(Aldri i livet, aldri i livet)  Daggryet nynner en myk sorgløs sang Som da jeg så deg for første gang I dine tidløse øyne fins svar Som ingen andre jeg kjenner har  Hver gang jeg drar herfra, tenker du på meg da? Hver gang jeg drar herfra, glem ikke løftet jeg ga:  Aldri i livet har jeg tenkt på å r...","(Never in my life, never in my life)  The dawn is humming a soft, carefree song Like when I saw you for the first time In your timeless eyes there are answers That no one else that I know has  Every time I go away, do you think of me then? Every time I go away, do not forget the promise I made:  Nev...",135,F major,,,20,0,13,"time, never, life"
1982,Germany,Nicole,Ein bißchen Frieden,German,German,"Wie eine Blume am Winterbeginn Und so wie ein Feuer im eisigen Wind Wie eine Puppe, die keiner mehr mag Fühl ich mich an manchem Tag  Dann seh ich die Wolken, die über uns sind Und höre die Schreie der Vögel im Wind Ich singe aus Angst vor dem Dunkeln mein Lied Und hoffe, dass nichts geschieht  Ein ...",Just like a flower at the beginning of winter And just like a fire in an icy wind Just like a doll that nobody wants anymore That's how I feel on some days  Then I see the clouds above And I hear the cries of the birds in the wind I sing my song in fear of the dark And hope that nothing happens  A b...,118,F# minor,,,1,161,18,"just, like, wind"
